dtype,kind,size_or_x,intensity_or_x,tflops
fp32,measured,128,21.333333,0.274784
fp32,measured,256,42.666667,1.896159
fp32,measured,512,85.333333,6.765006
fp32,measured,1024,170.666667,9.015162
fp32,measured,2048,341.333333,11.299691
fp32,measured,4096,682.666667,11.257545
fp32,measured,8192,1365.333333,12.134797
fp32,ceiling,0,0.100000,0.038400
fp32,ceiling,0,0.109750,0.042144
fp32,ceiling,0,0.120450,0.046253
fp32,ceiling,0,0.132194,0.050763
fp32,ceiling,0,0.145083,0.055712
fp32,ceiling,0,0.159228,0.061144
fp32,ceiling,0,0.174753,0.067105
fp32,ceiling,0,0.191791,0.073648
fp32,ceiling,0,0.210490,0.080828
fp32,ceiling,0,0.231013,0.088709
fp32,ceiling,0,0.253536,0.097358
fp32,ceiling,0,0.278256,0.106850
fp32,ceiling,0,0.305386,0.117268
fp32,ceiling,0,0.335160,0.128702
fp32,ceiling,0,0.367838,0.141250
fp32,ceiling,0,0.403702,0.155021
fp32,ceiling,0,0.443062,0.170136
fp32,ceiling,0,0.486260,0.186724
fp32,ceiling,0,0.533670,0.204929
fp32,ceiling,0,0.585702,0.224910
fp32,ceiling,0,0.642807,0.246838
fp32,ceiling,0,0.705480,0.270904
fp32,ceiling,0,0.774264,0.297317
fp32,ceiling,0,0.849753,0.326305
fp32,ceiling,0,0.932603,0.358120
fp32,ceiling,0,1.023531,0.393036
fp32,ceiling,0,1.123324,0.431356
fp32,ceiling,0,1.232847,0.473413
fp32,ceiling,0,1.353048,0.519570
fp32,ceiling,0,1.484968,0.570228
fp32,ceiling,0,1.629751,0.625824
fp32,ceiling,0,1.788650,0.686841
fp32,ceiling,0,1.963041,0.753808
fp32,ceiling,0,2.154435,0.827303
fp32,ceiling,0,2.364489,0.907964
fp32,ceiling,0,2.595024,0.996489
fp32,ceiling,0,2.848036,1.093646
fp32,ceiling,0,3.125716,1.200275
fp32,ceiling,0,3.430469,1.317300
fp32,ceiling,0,3.764936,1.445735
fp32,ceiling,0,4.132012,1.586693
fp32,ceiling,0,4.534879,1.741393
fp32,ceiling,0,4.977024,1.911177
fp32,ceiling,0,5.462277,2.097514
fp32,ceiling,0,5.994843,2.302020
fp32,ceiling,0,6.579332,2.526464
fp32,ceiling,0,7.220809,2.772791
fp32,ceiling,0,7.924829,3.043134
fp32,ceiling,0,8.697490,3.339836
fp32,ceiling,0,9.545485,3.665466
fp32,ceiling,0,10.476158,4.022844
fp32,ceiling,0,11.497570,4.415067
fp32,ceiling,0,12.618569,4.845530
fp32,ceiling,0,13.848864,5.317964
fp32,ceiling,0,15.199111,5.836459
fp32,ceiling,0,16.681005,6.405506
fp32,ceiling,0,18.307383,7.030035
fp32,ceiling,0,20.092330,7.715455
fp32,ceiling,0,22.051307,8.467702
fp32,ceiling,0,24.201283,9.293293
fp32,ceiling,0,26.560878,10.199377
fp32,ceiling,0,29.150531,11.193804
fp32,ceiling,0,31.992671,12.285186
fp32,ceiling,0,35.111917,13.482976
fp32,ceiling,0,38.535286,14.797550
fp32,ceiling,0,42.292429,16.240293
fp32,ceiling,0,46.415888,17.823701
fp32,ceiling,0,50.941380,19.200000
fp32,ceiling,0,55.908102,19.200000
fp32,ceiling,0,61.359073,19.200000
fp32,ceiling,0,67.341507,19.200000
fp32,ceiling,0,73.907220,19.200000
fp32,ceiling,0,81.113083,19.200000
fp32,ceiling,0,89.021509,19.200000
