shape,variant,M,K,bytes,flops,ms_median,ms_min,gbs_median,gbs_min,pct_spec,pct_practical,max_rel_err,rel_l2_err
-,stream_read,0,0,536870912,0,1.578976,1.573632,340.01,341.17,88.85,100.00,0,0
q_proj,fp16_scalar,4096,4096,33554432,33554432,0.127712,0.124896,262.74,268.66,69.96,78.75,7.513e-04,9.222e-06
q_proj,fp16_vec,4096,4096,33554432,33554432,0.112000,0.109088,299.59,307.59,80.10,90.16,8.688e-04,1.359e-05
q_proj,w8a16,4096,4096,16785408,33554432,0.058112,0.056352,288.85,297.87,77.57,87.31,3.600e-02,3.147e-04
q_proj,cublas_gemm,4096,4096,33554432,33554432,0.118624,0.112672,282.86,297.81,77.55,87.29,0.000e+00,0.000e+00
q_proj,cublas_gemv,4096,4096,33554432,33554432,0.118848,0.108608,282.33,308.95,80.46,90.56,0.000e+00,0.000e+00
kv_proj,fp16_scalar,1024,4096,8388608,8388608,0.039264,0.037344,213.65,224.63,58.50,65.84,8.576e-04,3.523e-05
kv_proj,fp16_vec,1024,4096,8388608,8388608,0.030848,0.029056,271.93,288.70,75.18,84.62,8.576e-04,3.530e-05
kv_proj,w8a16,1024,4096,4196352,8388608,0.018720,0.016832,224.16,249.31,64.92,73.08,1.716e-02,3.465e-04
kv_proj,cublas_gemm,1024,4096,8388608,8388608,0.041280,0.038720,203.21,216.65,56.42,63.50,0.000e+00,0.000e+00
kv_proj,cublas_gemv,1024,4096,8388608,8388608,0.041248,0.038304,203.37,219.00,57.03,64.19,0.000e+00,0.000e+00
o_proj,fp16_scalar,4096,4096,33554432,33554432,0.123648,0.118272,271.37,283.71,73.88,83.16,9.174e-04,8.934e-06
o_proj,fp16_vec,4096,4096,33554432,33554432,0.108608,0.103968,308.95,322.74,84.05,94.60,9.276e-04,3.330e-06
o_proj,w8a16,4096,4096,16785408,33554432,0.054784,0.053056,306.39,316.37,82.39,92.73,2.462e-02,3.169e-04
o_proj,cublas_gemm,4096,4096,33554432,33554432,0.113632,0.111136,295.29,301.92,78.63,88.50,0.000e+00,0.000e+00
o_proj,cublas_gemv,4096,4096,33554432,33554432,0.113504,0.110816,295.62,302.79,78.85,88.75,0.000e+00,0.000e+00
gate_up,fp16_scalar,14336,4096,117440512,117440512,0.381536,0.376672,307.81,311.78,81.19,91.39,9.537e-04,7.449e-06
gate_up,fp16_vec,14336,4096,117440512,117440512,0.345472,0.340576,339.94,344.83,89.80,101.07,9.690e-04,7.856e-06
gate_up,w8a16,14336,4096,58748928,117440512,0.179040,0.174080,328.13,337.48,87.89,98.92,2.718e-02,3.236e-04
gate_up,cublas_gemm,14336,4096,117440512,117440512,0.351104,0.346624,334.49,338.81,88.23,99.31,0.000e+00,0.000e+00
gate_up,cublas_gemv,14336,4096,117440512,117440512,0.350688,0.346656,334.89,338.78,88.22,99.30,0.000e+00,0.000e+00
down,fp16_scalar,4096,14336,117440512,117440512,0.401792,0.375776,292.29,312.53,81.39,91.61,0.000e+00,0.000e+00
down,fp16_vec,4096,14336,117440512,117440512,0.348128,0.343936,337.35,341.46,88.92,100.09,8.913e-04,1.357e-06
down,w8a16,4096,14336,58728448,117440512,0.184544,0.180864,318.24,324.71,84.56,95.18,5.811e-02,3.262e-04
down,cublas_gemm,4096,14336,117440512,117440512,0.351360,0.346752,334.25,338.69,88.20,99.27,0.000e+00,0.000e+00
down,cublas_gemv,4096,14336,117440512,117440512,0.351328,0.346912,334.28,338.53,88.16,99.23,0.000e+00,0.000e+00
