ngl,rep,mode,n_prompt,avg_ts,stddev_ts
8,1,ALWAYS,8,23.289031,1.312620
8,1,ALWAYS,12,38.411389,2.379772
8,1,ALWAYS,16,54.538938,2.775654
8,1,ALWAYS,20,67.834321,2.409118
8,1,ALWAYS,24,80.129282,3.487965
8,1,ALWAYS,32,115.220276,3.938939
8,1,ALWAYS,48,170.897545,4.755250
8,1,NEVER,8,49.434755,1.302439
8,1,NEVER,12,51.819446,2.350744
8,1,NEVER,16,54.015736,1.717055
8,1,NEVER,20,44.553669,21.481998
8,1,NEVER,24,51.353593,3.840933
8,1,NEVER,32,54.862503,0.419486
8,1,NEVER,48,53.851540,1.801270
8,2,ALWAYS,8,26.617178,0.924907
8,2,ALWAYS,12,42.376958,1.341990
8,2,ALWAYS,16,56.580978,1.605987
8,2,ALWAYS,20,69.534133,2.460602
8,2,ALWAYS,24,83.048039,2.495290
8,2,ALWAYS,32,119.096049,2.411081
8,2,ALWAYS,48,174.813513,3.828781
8,2,NEVER,8,50.384978,1.756499
8,2,NEVER,12,53.266653,1.155461
8,2,NEVER,16,54.541001,1.560796
8,2,NEVER,20,44.648305,21.555828
8,2,NEVER,24,52.579325,3.430730
8,2,NEVER,32,52.720442,1.593617
8,2,NEVER,48,54.542611,1.991168
8,3,ALWAYS,8,26.423631,1.403259
8,3,ALWAYS,12,42.259343,1.281431
8,3,ALWAYS,16,56.463157,1.674359
8,3,ALWAYS,20,69.011770,2.708590
8,3,ALWAYS,24,83.234601,2.154621
8,3,ALWAYS,32,119.285691,2.845001
8,3,ALWAYS,48,176.024226,4.743787
8,3,NEVER,8,48.880933,2.060208
8,3,NEVER,12,52.796959,1.631717
8,3,NEVER,16,52.968114,2.667346
8,3,NEVER,20,44.482378,21.465435
8,3,NEVER,24,51.579766,3.884515
8,3,NEVER,32,55.189384,1.238606
8,3,NEVER,48,55.408380,0.473817
16,1,ALWAYS,8,37.285277,1.621516
16,1,ALWAYS,12,59.374221,2.734032
16,1,ALWAYS,16,80.298711,2.433806
16,1,ALWAYS,20,98.089683,3.730182
16,1,ALWAYS,24,117.067453,3.408126
16,1,ALWAYS,32,167.607650,4.210484
16,1,ALWAYS,48,243.797191,6.394007
16,1,NEVER,8,65.129465,2.001137
16,1,NEVER,12,74.744703,1.415331
16,1,NEVER,16,78.636651,1.875767
16,1,NEVER,20,78.247962,2.012070
16,1,NEVER,24,78.465020,2.400014
16,1,NEVER,32,75.763264,4.843588
16,1,NEVER,48,63.736539,28.429266
16,2,ALWAYS,8,37.112224,2.022292
16,2,ALWAYS,12,59.808798,1.579816
16,2,ALWAYS,16,77.229527,3.764079
16,2,ALWAYS,20,97.689791,3.953072
16,2,ALWAYS,24,115.677049,5.399039
16,2,ALWAYS,32,167.110391,5.204926
16,2,ALWAYS,48,244.191254,5.989236
16,2,NEVER,8,67.816748,2.419167
16,2,NEVER,12,73.227800,2.475227
16,2,NEVER,16,77.961701,1.853932
16,2,NEVER,20,75.737774,1.662725
16,2,NEVER,24,78.629283,1.021991
16,2,NEVER,32,79.707258,1.403825
16,2,NEVER,48,81.016173,0.492041
16,3,ALWAYS,8,37.472496,1.709678
16,3,ALWAYS,12,60.156874,1.907680
16,3,ALWAYS,16,80.133507,2.233336
16,3,ALWAYS,20,93.978778,8.289967
16,3,ALWAYS,24,117.055662,2.979575
16,3,ALWAYS,32,167.283113,3.897170
16,3,ALWAYS,48,243.696375,5.539695
16,3,NEVER,8,68.478044,1.849995
16,3,NEVER,12,74.651798,1.115661
16,3,NEVER,16,76.454420,3.147372
16,3,NEVER,20,75.730867,3.604191
16,3,NEVER,24,75.556414,4.007501
16,3,NEVER,32,79.282597,0.594575
16,3,NEVER,48,76.269077,6.190926
24,1,ALWAYS,8,60.887270,5.113697
24,1,ALWAYS,12,103.578531,3.237645
24,1,ALWAYS,16,138.822868,4.661966
24,1,ALWAYS,20,169.335934,7.988602
24,1,ALWAYS,24,203.024557,6.292737
24,1,ALWAYS,32,283.009345,9.943397
24,1,ALWAYS,48,410.162709,13.446287
24,1,NEVER,8,99.830022,4.292456
24,1,NEVER,12,129.615892,5.122743
24,1,NEVER,16,135.663188,3.570081
24,1,NEVER,20,136.561551,2.800754
24,1,NEVER,24,139.399197,5.295371
24,1,NEVER,32,144.331093,5.168125
24,1,NEVER,48,145.549441,0.880220
24,2,ALWAYS,8,61.500978,2.370286
24,2,ALWAYS,12,102.878123,3.950055
24,2,ALWAYS,16,138.964557,4.268854
24,2,ALWAYS,20,166.171146,15.064240
24,2,ALWAYS,24,202.106522,8.638650
24,2,ALWAYS,32,282.093054,9.352536
24,2,ALWAYS,48,409.965112,13.226004
24,2,NEVER,8,101.002788,3.361144
24,2,NEVER,12,128.194133,5.654566
24,2,NEVER,16,136.155236,3.323310
24,2,NEVER,20,133.240890,2.862461
24,2,NEVER,24,137.513462,6.676538
24,2,NEVER,32,141.662312,5.661254
24,2,NEVER,48,148.859329,4.507126
24,3,ALWAYS,8,61.659156,4.034670
24,3,ALWAYS,12,104.318307,3.852927
24,3,ALWAYS,16,138.240192,5.392935
24,3,ALWAYS,20,167.162119,7.941600
24,3,ALWAYS,24,203.683075,6.135269
24,3,ALWAYS,32,285.883927,10.048087
24,3,ALWAYS,48,408.581047,10.304309
24,3,NEVER,8,103.673348,7.166698
24,3,NEVER,12,132.529796,6.743590
24,3,NEVER,16,133.551748,6.941414
24,3,NEVER,20,132.105350,5.431411
24,3,NEVER,24,139.126300,4.462101
24,3,NEVER,32,142.051031,4.656914
24,3,NEVER,48,145.194140,3.800267
