ngl,rep,mode,n_prompt,avg_ts,stddev_ts
16,1,ALWAYS,8,24.033013,
16,1,ALWAYS,12,34.151615,
16,1,ALWAYS,16,42.031315,
16,1,ALWAYS,20,58.087620,
16,1,ALWAYS,24,55.552723,
16,1,ALWAYS,32,99.404036,
16,1,ALWAYS,48,144.455803,
16,1,NEVER,8,60.966857,
16,1,NEVER,12,71.776392,
16,1,NEVER,16,71.207207,
16,1,NEVER,20,78.764647,
16,1,NEVER,24,85.714823,
16,1,NEVER,32,90.068679,
16,1,NEVER,48,93.130850,
16,2,ALWAYS,8,24.473248,
16,2,ALWAYS,12,36.900919,
16,2,ALWAYS,16,40.462046,
16,2,ALWAYS,20,60.247868,
16,2,ALWAYS,24,72.485302,
16,2,ALWAYS,32,91.712922,
16,2,ALWAYS,48,124.021116,
16,2,NEVER,8,62.924830,
16,2,NEVER,12,72.230101,
16,2,NEVER,16,74.038333,
16,2,NEVER,20,82.128859,
16,2,NEVER,24,87.819012,
16,2,NEVER,32,89.479022,
16,2,NEVER,48,93.912093,
16,3,ALWAYS,8,24.442718,
16,3,ALWAYS,12,36.856934,
16,3,ALWAYS,16,49.246773,
16,3,ALWAYS,20,60.504903,
16,3,ALWAYS,24,73.086971,
16,3,ALWAYS,32,101.658696,
16,3,ALWAYS,48,145.316141,
16,3,NEVER,8,62.427972,
16,3,NEVER,12,58.831763,
16,3,NEVER,16,77.945022,
16,3,NEVER,20,83.184281,
16,3,NEVER,24,85.705636,
16,3,NEVER,32,89.578167,
16,3,NEVER,48,92.477455,
