min_batch,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
8,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","8","0","0","2026-08-20T00:28:59Z","232266612","12215145","34.514597","1.697635"
8,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","16","0","0","2026-08-20T00:29:00Z","220762442","6447508","72.523917","2.046933"
8,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","24","0","0","2026-08-20T00:29:02Z","226327939","6938101","106.118651","3.174151"
8,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","32","0","0","2026-08-20T00:29:03Z","200179163","4450411","159.919390","3.519809"
8,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","48","0","0","2026-08-20T00:29:04Z","214054632","8156164","224.497708","8.398320"
8,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","64","0","0","2026-08-20T00:29:05Z","217347022","7936692","294.772424","10.697161"
8,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","128","0","0","2026-08-20T00:29:07Z","232006791","6688150","552.064236","15.449676"
14,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","8","0","0","2026-08-20T00:29:09Z","125830688","7520422","63.750095","3.611891"
14,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","16","0","0","2026-08-20T00:29:10Z","225273792","15945367","71.290072","4.690146"
14,"c0bc859","1","AMD Ryzen AI 7 350 w/ Radeon 860M","NVIDIA GeForce RTX 5060 Laptop GPU","CUDA","/home/tanto/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf","llama 8B Q4_K - Medium","4912898304","8030261312","2048","512","8","0x0","0","50","f16","f16","16","0","layer","0","0","-1","auto","0.00","none","mmap","0","0","0","0","0","24","0","0","2026-08-20T00:29:11Z","222757392","5595766","107.794580","2.690087"
