dtype,kind,size_or_x,intensity_or_x,tflops
fp32,measured,128,21.333333,0.122957
fp32,measured,256,42.666667,1.852608
fp32,measured,512,85.333333,7.108990
fp32,measured,1024,170.666667,9.676837
fp32,measured,2048,341.333333,11.837866
fp32,measured,4096,682.666667,11.754120
fp32,measured,8192,1365.333333,12.795088
fp32,ceiling,0,0.100000,0.027200
fp32,ceiling,0,0.109750,0.029852
fp32,ceiling,0,0.120450,0.032762
fp32,ceiling,0,0.132194,0.035957
fp32,ceiling,0,0.145083,0.039463
fp32,ceiling,0,0.159228,0.043310
fp32,ceiling,0,0.174753,0.047533
fp32,ceiling,0,0.191791,0.052167
fp32,ceiling,0,0.210490,0.057253
fp32,ceiling,0,0.231013,0.062836
fp32,ceiling,0,0.253536,0.068962
fp32,ceiling,0,0.278256,0.075686
fp32,ceiling,0,0.305386,0.083065
fp32,ceiling,0,0.335160,0.091164
fp32,ceiling,0,0.367838,0.100052
fp32,ceiling,0,0.403702,0.109807
fp32,ceiling,0,0.443062,0.120513
fp32,ceiling,0,0.486260,0.132263
fp32,ceiling,0,0.533670,0.145158
fp32,ceiling,0,0.585702,0.159311
fp32,ceiling,0,0.642807,0.174844
fp32,ceiling,0,0.705480,0.191891
fp32,ceiling,0,0.774264,0.210600
fp32,ceiling,0,0.849753,0.231133
fp32,ceiling,0,0.932603,0.253668
fp32,ceiling,0,1.023531,0.278400
fp32,ceiling,0,1.123324,0.305544
fp32,ceiling,0,1.232847,0.335334
fp32,ceiling,0,1.353048,0.368029
fp32,ceiling,0,1.484968,0.403911
fp32,ceiling,0,1.629751,0.443292
fp32,ceiling,0,1.788650,0.486513
fp32,ceiling,0,1.963041,0.533947
fp32,ceiling,0,2.154435,0.586006
fp32,ceiling,0,2.364489,0.643141
fp32,ceiling,0,2.595024,0.705847
fp32,ceiling,0,2.848036,0.774666
fp32,ceiling,0,3.125716,0.850195
fp32,ceiling,0,3.430469,0.933088
fp32,ceiling,0,3.764936,1.024063
fp32,ceiling,0,4.132012,1.123907
fp32,ceiling,0,4.534879,1.233487
fp32,ceiling,0,4.977024,1.353750
fp32,ceiling,0,5.462277,1.485739
fp32,ceiling,0,5.994843,1.630597
fp32,ceiling,0,6.579332,1.789578
fp32,ceiling,0,7.220809,1.964060
fp32,ceiling,0,7.924829,2.155553
fp32,ceiling,0,8.697490,2.365717
fp32,ceiling,0,9.545485,2.596372
fp32,ceiling,0,10.476158,2.849515
fp32,ceiling,0,11.497570,3.127339
fp32,ceiling,0,12.618569,3.432251
fp32,ceiling,0,13.848864,3.766891
fp32,ceiling,0,15.199111,4.134158
fp32,ceiling,0,16.681005,4.537233
fp32,ceiling,0,18.307383,4.979608
fp32,ceiling,0,20.092330,5.465114
fp32,ceiling,0,22.051307,5.997956
fp32,ceiling,0,24.201283,6.582749
fp32,ceiling,0,26.560878,7.224559
fp32,ceiling,0,29.150531,7.928944
fp32,ceiling,0,31.992671,8.702007
fp32,ceiling,0,35.111917,9.550442
fp32,ceiling,0,38.535286,10.481598
fp32,ceiling,0,42.292429,11.503541
fp32,ceiling,0,46.415888,12.625122
fp32,ceiling,0,50.941380,13.856055
fp32,ceiling,0,55.908102,15.207004
fp32,ceiling,0,61.359073,16.689668
fp32,ceiling,0,67.341507,18.316890
fp32,ceiling,0,73.907220,19.200000
fp32,ceiling,0,81.113083,19.200000
fp32,ceiling,0,89.021509,19.200000
fp32,ceiling,0,97.700996,19.200000
fp32,ceiling,0,107.226722,19.200000
fp32,ceiling,0,117.681195,19.200000
fp32,ceiling,0,129.154967,19.200000
fp32,ceiling,0,141.747416,19.200000
fp32,ceiling,0,155.567614,19.200000
fp32,ceiling,0,170.735265,19.200000
fp32,ceiling,0,187.381742,19.200000
fp32,ceiling,0,205.651231,19.200000
fp32,ceiling,0,225.701972,19.200000
fp32,ceiling,0,247.707636,19.200000
fp32,ceiling,0,271.858824,19.200000
fp32,ceiling,0,298.364724,19.200000
fp32,ceiling,0,327.454916,19.200000
fp32,ceiling,0,359.381366,19.200000
fp32,ceiling,0,394.420606,19.200000
fp32,ceiling,0,432.876128,19.200000
fp32,ceiling,0,475.081016,19.200000
fp32,ceiling,0,521.400829,19.200000
fp32,ceiling,0,572.236766,19.200000
fp32,ceiling,0,628.029144,19.200000
fp32,ceiling,0,689.261210,19.200000
fp32,ceiling,0,756.463328,19.200000
fp32,ceiling,0,830.217568,19.200000
fp32,ceiling,0,911.162756,19.200000
fp32,ceiling,0,1000.000000,19.200000
fp16,measured,128,42.666667,0.259036
fp16,measured,256,85.333333,4.681143
fp16,measured,512,170.666667,15.978302
fp16,measured,1024,341.333333,49.200046
fp16,measured,2048,682.666667,64.659874
fp16,measured,4096,1365.333333,68.044475
fp16,measured,8192,2730.666667,57.329485
fp16,ceiling,0,0.100000,0.027200
fp16,ceiling,0,0.109750,0.029852
fp16,ceiling,0,0.120450,0.032762
fp16,ceiling,0,0.132194,0.035957
fp16,ceiling,0,0.145083,0.039463
fp16,ceiling,0,0.159228,0.043310
fp16,ceiling,0,0.174753,0.047533
fp16,ceiling,0,0.191791,0.052167
fp16,ceiling,0,0.210490,0.057253
fp16,ceiling,0,0.231013,0.062836
fp16,ceiling,0,0.253536,0.068962
fp16,ceiling,0,0.278256,0.075686
fp16,ceiling,0,0.305386,0.083065
fp16,ceiling,0,0.335160,0.091164
fp16,ceiling,0,0.367838,0.100052
fp16,ceiling,0,0.403702,0.109807
fp16,ceiling,0,0.443062,0.120513
fp16,ceiling,0,0.486260,0.132263
fp16,ceiling,0,0.533670,0.145158
fp16,ceiling,0,0.585702,0.159311
fp16,ceiling,0,0.642807,0.174844
fp16,ceiling,0,0.705480,0.191891
fp16,ceiling,0,0.774264,0.210600
fp16,ceiling,0,0.849753,0.231133
fp16,ceiling,0,0.932603,0.253668
fp16,ceiling,0,1.023531,0.278400
fp16,ceiling,0,1.123324,0.305544
fp16,ceiling,0,1.232847,0.335334
fp16,ceiling,0,1.353048,0.368029
fp16,ceiling,0,1.484968,0.403911
fp16,ceiling,0,1.629751,0.443292
fp16,ceiling,0,1.788650,0.486513
fp16,ceiling,0,1.963041,0.533947
fp16,ceiling,0,2.154435,0.586006
fp16,ceiling,0,2.364489,0.643141
fp16,ceiling,0,2.595024,0.705847
fp16,ceiling,0,2.848036,0.774666
fp16,ceiling,0,3.125716,0.850195
fp16,ceiling,0,3.430469,0.933088
